t,red_count,red_fraction,iou,recall,precision,sample_id
0.5600000000000002,0,0.0,0.0,0.0,0.0,7
0.5800000000000002,0,0.0,0.0,0.0,0.0,7
0.6000000000000002,0,0.0,0.0,0.0,0.0,7
0.6200000000000002,0,0.0,0.0,0.0,0.0,7
0.6400000000000002,0,0.0,0.0,0.0,0.0,7
0.6600000000000003,0,0.0,0.0,0.0,0.0,7
0.6800000000000003,0,0.0,0.0,0.0,0.0,7
0.7000000000000003,276,0.0673828125,0.25191675794085433,0.26528258362168394,0.8333333333333334,7
0.7200000000000003,1137,0.277587890625,0.762532981530343,1.0,0.762532981530343,7
0.7400000000000003,1139,0.278076171875,0.7611940298507462,1.0,0.7611940298507462,7
0.7600000000000003,1140,0.2783203125,0.7605263157894737,1.0,0.7605263157894737,7
0.7800000000000004,1140,0.2783203125,0.7605263157894737,1.0,0.7605263157894737,7
0.8000000000000004,1140,0.2783203125,0.7605263157894737,1.0,0.7605263157894737,7
0.8200000000000004,1140,0.2783203125,0.7605263157894737,1.0,0.7605263157894737,7
0.8400000000000004,1140,0.2783203125,0.7605263157894737,1.0,0.7605263157894737,7
0.8600000000000004,1142,0.27880859375,0.7591943957968477,1.0,0.7591943957968477,7
0.8800000000000004,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
0.9000000000000005,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
0.9200000000000005,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
0.9400000000000005,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
0.9600000000000005,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
0.9800000000000005,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
1.0000000000000004,1143,0.279052734375,0.7585301837270341,1.0,0.7585301837270341,7
0.0,0,0.0,0.0,0.0,0.0,8
0.02,0,0.0,0.0,0.0,0.0,8
0.04,0,0.0,0.0,0.0,0.0,8
0.06,0,0.0,0.0,0.0,0.0,8
0.08,0,0.0,0.0,0.0,0.0,8
0.1,0,0.0,0.0,0.0,0.0,8
0.12000000000000001,0,0.0,0.0,0.0,0.0,8
0.14,0,0.0,0.0,0.0,0.0,8
0.16,0,0.0,0.0,0.0,0.0,8
0.18,0,0.0,0.0,0.0,0.0,8
0.19999999999999998,0,0.0,0.0,0.0,0.0,8
0.21999999999999997,0,0.0,0.0,0.0,0.0,8
0.23999999999999996,0,0.0,0.0,0.0,0.0,8
